Tumor_Sample_Barcode,tmb
TCGA-02-0003-01,0
TCGA-02-0033-01,2
TCGA-02-0047-01,3
TCGA-02-0055-01,0
TCGA-02-2466-01,8
TCGA-02-2470-01,2
TCGA-02-2483-01,1
TCGA-02-2485-01,5
TCGA-02-2486-01,3
TCGA-06-0119-01,1
TCGA-06-0122-01,3
TCGA-06-0124-01,3
TCGA-06-0125-01,3
TCGA-06-0125-02,9
TCGA-06-0126-01,3
TCGA-06-0128-01,6
TCGA-06-0129-01,8
TCGA-06-0130-01,1
TCGA-06-0132-01,1
TCGA-06-0137-01,3
TCGA-06-0139-01,0
TCGA-06-0140-01,2
TCGA-06-0141-01,0
TCGA-06-0142-01,0
TCGA-06-0145-01,2
TCGA-06-0151-01,1
TCGA-06-0152-01,4
TCGA-06-0152-02,5
TCGA-06-0154-01,1
TCGA-06-0155-01,4
TCGA-06-0157-01,4
TCGA-06-0158-01,1
TCGA-06-0166-01,3
TCGA-06-0168-01,4
TCGA-06-0169-01,3
TCGA-06-0171-01,4
TCGA-06-0171-02,2
TCGA-06-0173-01,3
TCGA-06-0174-01,2
TCGA-06-0184-01,3
TCGA-06-0185-01,3
TCGA-06-0187-01,1
TCGA-06-0188-01,3
TCGA-06-0189-01,0
TCGA-06-0190-01,3
TCGA-06-0190-02,6
TCGA-06-0192-01,3
TCGA-06-0195-01,3
TCGA-06-0209-01,5
TCGA-06-0210-01,1
TCGA-06-0210-02,1
TCGA-06-0211-01,3
TCGA-06-0211-02,1
TCGA-06-0213-01,3
TCGA-06-0214-01,1
TCGA-06-0216-01,5
TCGA-06-0219-01,1
TCGA-06-0221-01,3
TCGA-06-0221-02,8
TCGA-06-0237-01,3
TCGA-06-0238-01,3
TCGA-06-0240-01,0
TCGA-06-0241-01,3
TCGA-06-0644-01,3
TCGA-06-0645-01,0
TCGA-06-0646-01,3
TCGA-06-0648-01,3
TCGA-06-0649-01,3
TCGA-06-0650-01,1
TCGA-06-0686-01,1
TCGA-06-0743-01,4
TCGA-06-0744-01,2
TCGA-06-0745-01,2
TCGA-06-0747-01,4
TCGA-06-0749-01,6
