"Tumor_Sample_Barcode","Variant_Type","Mutations"
"TCGA-02-0003-01","DEL",0
"TCGA-02-0003-01","INS",0
"TCGA-02-0033-01","DEL",1
"TCGA-02-0033-01","INS",1
"TCGA-02-0047-01","DEL",3
"TCGA-02-0047-01","INS",0
"TCGA-02-0055-01","DEL",0
"TCGA-02-0055-01","INS",0
"TCGA-02-2466-01","DEL",7
"TCGA-02-2466-01","INS",1
"TCGA-02-2470-01","DEL",2
"TCGA-02-2470-01","INS",0
"TCGA-02-2483-01","DEL",1
"TCGA-02-2483-01","INS",0
"TCGA-02-2485-01","DEL",5
"TCGA-02-2485-01","INS",0
"TCGA-02-2486-01","DEL",2
"TCGA-02-2486-01","INS",1
"TCGA-06-0119-01","DEL",1
"TCGA-06-0119-01","INS",0
"TCGA-06-0122-01","DEL",3
"TCGA-06-0122-01","INS",0
"TCGA-06-0124-01","DEL",3
"TCGA-06-0124-01","INS",0
"TCGA-06-0125-01","DEL",2
"TCGA-06-0125-01","INS",1
"TCGA-06-0125-02","DEL",8
"TCGA-06-0125-02","INS",1
"TCGA-06-0126-01","DEL",2
"TCGA-06-0126-01","INS",1
"TCGA-06-0128-01","DEL",4
"TCGA-06-0128-01","INS",2
"TCGA-06-0129-01","DEL",8
"TCGA-06-0129-01","INS",0
"TCGA-06-0130-01","DEL",1
"TCGA-06-0130-01","INS",0
"TCGA-06-0132-01","DEL",1
"TCGA-06-0132-01","INS",0
"TCGA-06-0137-01","DEL",2
"TCGA-06-0137-01","INS",1
"TCGA-06-0139-01","DEL",0
"TCGA-06-0139-01","INS",0
"TCGA-06-0140-01","DEL",1
"TCGA-06-0140-01","INS",1
"TCGA-06-0141-01","DEL",0
"TCGA-06-0141-01","INS",0
"TCGA-06-0142-01","DEL",0
"TCGA-06-0142-01","INS",0
"TCGA-06-0145-01","DEL",2
"TCGA-06-0145-01","INS",0
"TCGA-06-0151-01","DEL",1
"TCGA-06-0151-01","INS",0
"TCGA-06-0152-01","DEL",3
"TCGA-06-0152-01","INS",1
"TCGA-06-0152-02","DEL",5
